,FundingRate,LongPct,LongShortRatio,ShortPct,etf_flow_proxy,FundingRate_EMA3,FundingRate_Pct90d
2023-07-11,6.743e-05,,,,8862600.0,6.702637651526563e-05,0.3756172839506173
2023-07-12,6.0566666666666664e-05,,,,9254100.0,6.0280701137739005e-05,0.3756172839506173
2023-07-13,1.838e-05,,,,30266700.0,2.0091009765507845e-05,0.18796296296296297
2023-07-14,0.0001,,,,19805500.0,9.60628041873729e-05,0.8425925925925926
2023-07-15,-4.406666666666667e-06,,,,19805500.0,-1.4833058200843632e-06,0.19783950617283952
2023-07-16,4.823958333333333e-05,,,,19805500.0,4.7568151848392336e-05,0.4954475308641975
2023-07-17,5.1080000000000006e-05,,,,7977000.0,5.038598156401427e-05,0.5615740740740741
2023-07-18,6.0860000000000003e-05,,,,8023000.0,6.035446182361135e-05,0.6774691358024691
2023-07-19,7.53525e-05,,,,6536600.0,7.527062405754399e-05,0.7292438271604939
2023-07-20,5.952e-05,,,,6927300.0,6.039165989894414e-05,0.508179012345679
2023-07-21,2.5689166666666665e-05,,,,5302300.0,2.6469698063904637e-05,0.22800925925925927
2023-07-22,1.1053333333333333e-05,,,,5302300.0,1.2522305298777307e-05,0.11759259259259258
2023-07-23,7.426666666666666e-05,,,,5302300.0,7.043569605227642e-05,0.6929012345679012
2023-07-24,8.112666666666668e-05,,,,6137600.0,8.087515649024821e-05,0.7606481481481482
2023-07-25,8.026666666666666e-05,,,,3367600.0,8.0484552394012e-05,0.7149691358024691
2023-07-26,8.383458333333334e-05,,,,5112700.0,8.536397038698012e-05,0.7405092592592593
2023-07-27,3.320416666666667e-05,,,,5557000.0,3.4412946584511026e-05,0.2636574074074074
2023-07-28,7.016e-05,,,,4035700.0,6.720019424542963e-05,0.6412037037037037
2023-07-29,7.242208333333334e-05,,,,4035700.0,7.34554341839618e-05,0.6304783950617284
2023-07-30,6.022666666666667e-05,,,,4035700.0,6.153716489451732e-05,0.4959876543209876
2023-07-31,5.9534583333333334e-05,,,,4848100.0,5.7921944311141865e-05,0.4837191358024691
