date,Tx_Fees_USD,Hash_Rate_THs,Network_Difficulty,Hash_Rate_14d_MA,Tx_Fees_Spike_Zscore
2025-04-20,463903.8264809299,753499802.4397362,123234387977051.38,876707371.355044,-0.37245931515490727
2025-04-21,570686.15834004,771877846.401681,123234387977051.39,869282442.6687535,0.23960484759561526
2025-04-22,562205.1478922802,949532271.367147,123234387977051.52,871095581.3893176,0.20991618845095492
2025-04-23,1055502.0879452003,698365670.5539016,123234387977051.33,864459968.1583023,2.869165672985995
2025-04-24,833850.1592264704,863768066.2114046,123234387977051.47,864030068.398327,1.6325230958406178
2025-04-25,581252.1772420799,882146110.1733494,123234387977051.47,863187118.8760083,0.2709960911707427
2025-04-26,417012.83151906996,814759948.9795519,123234387977051.42,859256639.3137578,-0.6119445141538489
2025-04-27,488094.3881503601,827011978.2875152,123234387977051.44,844120934.3847004,-0.22174980523479645
2025-04-28,625990.3118483697,863768066.2114046,123234387977051.47,841533825.6394794,0.5123853291282937
2025-04-29,586290.7508185599,894398139.4813126,123234387977051.48,843291788.255926,0.2932635473294323
2025-04-30,623770.59197384,808633934.3255703,123234387977051.42,837197969.0301945,0.48826670169190245
2025-05-01,528966.37337939,827011978.2875152,123234387977051.44,830259658.2450706,-0.022069643364709398
2025-05-02,544646.3104534501,974036329.9830736,123234387977051.52,841157597.4166077,0.05900460794451387
2025-05-03,385497.43725185003,999957994.4593519,122656845148755.53,852054866.9401797,-0.790550329970266
2025-05-04,334514.5621203102,823060870.7158544,119116256505723.45,857023514.674188,-1.04271826960863
2025-05-05,484021.07380679995,1036227714.9300332,119116256505723.56,875905648.140499,-0.24442383999836848
2025-05-06,494888.2490408398,817139569.4876828,119116256505723.45,866449026.57768,-0.1840295426290971
2025-05-07,643991.3230069705,894116485.453914,119116256505723.5,880431227.6419667,0.601950731311765
2025-05-08,654232.3650914,941486895.2792871,119116256505723.52,885982572.5753869,0.6485243723201098
2025-05-09,740344.1063171999,828982171.944026,119116256505723.45,882185148.4161494,1.0818577299609096
2025-05-10,458545.7441006002,888195184.2257423,119116256505723.5,887430522.3623059,-0.41499478758037484
2025-05-11,359974.2583308002,882273882.9975705,119116256505723.48,891377801.2701671,-0.9285313215965317
2025-05-12,1337858.4305335,858588678.0848842,119116256505723.47,891007844.9754155,3.8274539987744833
2025-05-13,648686.5022897999,769769159.6623099,119116256505723.42,882105774.988344,0.4905621121634535
2025-05-14,750408.0708874,852667376.8567126,119116256505723.47,885251020.8834256,0.9656196473478336
2025-05-15,560354.7024723999,864509979.3130558,119116256505723.48,887929449.528107,0.04813153791895875
2025-05-16,1329330.0474345007,805296967.0313396,119116256505723.44,875876637.8886975,3.447706624105205
2025-05-17,742545.6680776,853317480.0820746,120040690785396.2,865402315.4331777,0.7976881012227005
2025-05-18,617501.7654656001,979723251.2998109,121658450774824.47,876592485.4748888,0.2361259814865627
2025-05-19,717736.5100800002,852722089.09428,121658450774824.53,863484940.772335,0.6710754431572036
2025-05-20,793317.9449028997,895055809.829457,121658450774824.52,869050386.5110332,0.9894481428247942
2025-05-21,854755.1769794,870865112.2664988,121658450774824.53,867389574.1405035,1.2360315780699116
2025-05-22,880076.3629847002,907151158.610936,121658450774824.5,864937021.5213356,1.3186569684860245
2025-05-23,676572.4056335001,937389530.5646338,121658450774824.48,872680404.2799505,0.42569795449310915
2025-05-24,566093.4235664,852722089.09428,121658450774824.53,870146611.7705603,-0.031673181262935446
2025-05-25,445837.9939643001,913198833.0016756,121658450774824.5,872355536.7708534,-0.5665741060404744
2025-05-26,562698.6657424,925294181.7831548,121658450774824.5,877120215.6064444,0.022576788645446585
