date,unconfirmed_count,mempool_size,avg_block_size,BTC_DVOL_Open,BTC_DVOL_Close
2025-08-15 19:45:00,,2184661.0,,,
2025-08-16 00:00:00,401541.0,,1.665970480263158,35.37,35.38
2025-08-16 01:30:00,,1475580.5,,,
2025-08-16 07:15:00,,807563.0,,,
2025-08-16 13:00:00,,1001334.0,,,
2025-08-16 18:45:00,,985728.0,,,
2025-08-17 00:00:00,440723.0,,1.5239586842105262,35.38,35.83
2025-08-17 00:30:00,,548154.5,,,
2025-08-17 06:15:00,,141674.0,,,
2025-08-17 12:00:00,,389167.5,,,
2025-08-17 17:45:00,,774054.0,,,
2025-08-17 23:30:00,,607937.5,,,
2025-08-18 00:00:00,477917.0,,1.5628293246753249,35.83,35.99
2025-08-18 05:15:00,,308944.5,,,
2025-08-18 11:00:00,,232157.0,,,
2025-08-18 16:45:00,,5435239.0,,,
2025-08-18 22:30:00,,1516354.0,,,
2025-08-19 00:00:00,412234.0,,1.7399857313432838,35.99,37.87
2025-08-19 04:15:00,,197458.5,,,
2025-08-19 10:00:00,,299398.0,,,
2025-08-19 15:45:00,,1699967.5,,,
2025-08-19 21:30:00,,5339713.0,,,
2025-08-20 00:00:00,424700.0,,1.609660631205673,37.87,36.02
2025-08-20 03:15:00,,2468337.0,,,
2025-08-20 09:00:00,,4043978.5,,,
2025-08-20 14:45:00,,858057.0,,,
2025-08-20 20:30:00,,1041114.0,,,
2025-08-21 00:00:00,447583.0,,1.5985631342281879,36.02,37.25
2025-08-21 02:15:00,,1583293.0,,,
2025-08-21 08:00:00,,1251478.0,,,
2025-08-21 13:45:00,,715235.5,,,
2025-08-21 19:30:00,,2230321.0,,,
2025-08-22 00:00:00,459516.0,,1.6326628493150686,37.25,34.53
2025-08-22 01:15:00,,267086.5,,,
2025-08-22 07:00:00,,1311623.0,,,
2025-08-22 12:45:00,,1135923.0,,,
2025-08-22 18:30:00,,748862.0,,,
2025-08-23 00:00:00,466919.0,,1.585786625,34.53,34.97
2025-08-23 00:15:00,,2563162.0,,,
2025-08-23 06:00:00,,211464.0,,,
2025-08-23 11:45:00,,243390.5,,,
2025-08-23 17:30:00,,407469.0,,,
2025-08-23 23:15:00,,494277.0,,,
2025-08-24 00:00:00,525708.0,,1.5772542865853663,34.97,35.07
2025-08-24 05:00:00,,784944.5,,,
2025-08-24 10:45:00,,322788.5,,,
2025-08-24 16:30:00,,561122.0,,,
2025-08-24 22:15:00,,236497.0,,,
2025-08-25 00:00:00,481940.0,,1.5999791347517733,35.07,37.93
2025-08-25 04:00:00,,425097.5,,,
2025-08-25 09:45:00,,431581.0,,,
2025-08-25 15:30:00,,1534577.5,,,
2025-08-25 21:15:00,,1469625.0,,,
2025-08-26 00:00:00,456410.0,,1.6423185999999994,37.93,36.92
2025-08-26 03:00:00,,576397.5,,,
2025-08-26 08:45:00,,346913.5,,,
2025-08-26 14:30:00,,4376731.0,,,
2025-08-26 20:15:00,,364646.0,,,
2025-08-27 00:00:00,499087.0,,1.587194126666667,36.92,37.91
2025-08-27 02:00:00,,169875.5,,,
2025-08-27 07:45:00,,451406.0,,,
2025-08-27 13:30:00,,4405044.0,,,
2025-08-27 19:15:00,,2004744.0,,,
2025-08-28 00:00:00,575434.0,,1.5770443710691824,37.91,36.95
2025-08-28 01:00:00,,175006.5,,,
2025-08-28 06:45:00,,418500.0,,,
2025-08-28 12:30:00,,419556.5,,,
2025-08-28 18:15:00,,327036.0,,,
