timestamp,MVRV_V10,MVRV_Pct6m,ExchangeFlow_V10,OBV_Momentum,STH_SOPR,FearGreed_Normalized,Hashrate_7dMA,Hashrate_Chg30d,ActiveAddresses_7d,Puell_Multiple
2024-09-02,-0.9154847689625669,0.015046296296296295,-0.0204006040317335,-24613.80855359556,0.9452024771602567,0.26,636561250.6717588,0.022723373846082806,492481.71428571426,0.7338886360481968
2024-09-03,-1.2651561274682595,0.000462962962962963,-0.020605166655853473,-24805.32439681189,0.920965170505836,0.26,636561250.6717588,0.022723373846082806,492481.71428571426,0.7374846501046421
2024-09-04,-1.185700324878293,0.007638888888888889,-0.020508363184252823,-24660.25877529243,0.9309944684579339,0.27,636561250.6717588,0.022723373846082806,492481.71428571426,0.7202439352855078
2024-09-05,-1.5731098855739984,0.001388888888888889,-0.020930182630462098,-25133.799268964678,0.9044715000292333,0.29,651986554.8320668,0.23941551155629104,492481.71428571426,0.7150090671352474
2024-09-06,-2.048244263618723,0.0016203703703703703,-0.022282482032658795,-26709.50515179243,0.8709848188866415,0.22,651986554.8320668,0.23941551155629104,497611.0,0.6955404415609776
2024-09-07,-2.0205118646074776,0.004166666666666667,-0.024461691978213164,-29255.78954928252,0.8765749079125764,0.23,651986554.8320668,0.23941551155629104,497611.0,0.6826854406605415
2024-09-08,-1.8883884102598583,0.012962962962962963,-0.025739155967359085,-30711.22182200686,0.890491491257627,0.29,651986554.8320668,0.23941551155629104,497611.0,0.6842610997326035
2024-09-09,-1.448657660619422,0.025694444444444443,-0.02587277610844493,-30812.77931252471,0.9277023792075711,0.26,655907136.6943474,0.1820229985612114,497611.0,0.7012985227722324
2024-09-10,-1.3467749934424746,0.03518518518518519,-0.025251613461795785,-30024.19304029434,0.939246054853404,0.33,655907136.6943474,0.1820229985612114,497179.5714285714,0.7186209910140395
2024-09-11,-1.436142626332751,0.03356481481481482,-0.023848793477349278,-28316.07943018689,0.9361613488347603,0.37,655907136.6943474,0.1820229985612114,497179.5714285714,0.7157034965580412
2024-09-12,-1.2875304033351413,0.044675925925925924,-0.022588822353545986,-26779.479915931122,0.9505960611994833,0.31,655907136.6943474,0.1820229985612114,497179.5714285714,0.7296194065346351
2024-09-13,-0.7809793652586231,0.09212962962962963,-0.02022974688250159,-23944.96519830404,0.9906247645672995,0.32,649252028.9668767,-0.034594753780812004,497179.5714285714,0.7387198783711757
2024-09-14,-0.9029362444761125,0.07916666666666666,-0.016485842720263582,-19491.14218804217,0.9835093706437086,0.5,649252028.9668767,-0.034594753780812004,501327.14285714284,0.754485758420565
2024-09-15,-1.0990099686434909,0.06018518518518518,-0.013080441020090781,-15450.23238076223,0.9704879907065139,0.51,649252028.9668767,-0.034594753780812004,501327.14285714284,0.7541310367647965
2024-09-16,-1.2975059464911562,0.04884259259259259,-0.011783818272746086,-13900.068727349164,0.9566184649795282,0.39,649252028.9668767,-0.034594753780812004,501327.14285714284,0.7330634541671996
2024-09-17,-0.820169678943762,0.10648148148148148,-0.010932069348426356,-12879.365299579222,0.9921739540547084,0.33,655430413.9358064,0.07166623642217562,501327.14285714284,0.7460160307483208
2024-09-18,-0.4927361222338932,0.1613425925925926,-0.009632414162894884,-11337.339418317424,1.0169153847253796,0.45,655430413.9358064,0.07166623642217562,497767.5714285714,0.7559748125522497
2024-09-19,-0.2268108797780731,0.22037037037037038,-0.006445406830765262,-7581.539934275206,1.0367648330786774,0.49,655430413.9358064,0.07166623642217562,497767.5714285714,0.7869549068911106
